,English,Gaeilge
764,I wasn't able to do that.,Ní raibh mé in ann é sin a dhéanamh.
765,It's going too far in the graphic.,Tá sé ag dul i bhfad sa ghrafaic.
766,He hit me badly.,Bhuail sé orm go dona.
767,It could be right enough.,D'fhéadfadh sé bheith ceart go leor.
768,I was expecting that answer.,Bhí mé ag súil leis an fhreagra sin.
769,It's very difficult to account for that.,Tá an rud sin an-deacair a chur san áireamh.
770,It's difficult to say exactly why.,Tá sé deacair a rá go díreach cén fáth.
771,I don't know why you want to do that.,Níl a fhios agam cén fáth a bhfuil tú ag iarraidh é sin a dhéanamh.
772,I could try it again.,D'fhéadfainn é a thriail arís.
773,It's hard to say exactly how many.,Tá sé deacair a rá go díreach cé mhéad.
774,That offended me.,Chuir sé sin isteach orm.
775,He could be honest.,D'fhéadfadh sé a bheith ina mhacánta.
776,It's hard to judge how far it is.,Tá sé deacair a mheas cé chomh fada agus atá sé.
777,He could be right enough.,D'fhéadfadh sé a bheith ceart go leor.
778,The subject is very positive.,Tá an t-ábhar an-dearfach.
779,It could be a great success.,D'fhéadfadh sé a bheith ina mhórshiúl.
780,I could try it now.,D'fhéadfainn é a thriail anois.
781,The rest of them were happy.,Bhí an chuid eile acu sásta.
782,It's true.,Tá sé fíor.
783,The sun is shining brightly in the sky.,Tá an ghrian ag taitneamh go hard sa spéir.
784,I'm not sure about the time the bus comes.,Níl mé cinnte faoin am a bhíonn an bus ag teacht.
785,The weather is wet and windy in winter.,Bíonn an aimsir fliuch agus gaofar sa Gheimhreadh.
786,I'm looking forward to the weekend.,Táim ag tnúth leis an deireadh seachtaine.
787,I have to go to the shop.,Caithfidh mé dul go dtí an siopa.
788,This movie is great.,Tá an scannán seo thar barr.
789,The food in this restaurant is excellent.,Tá an bia ana-mhaith sa bhialann seo.
790,I don't like this book.,Ní thaitin an leabhar seo liom.
791,This house is very close to the beach.,Tá an teach seo an-chóngarach don trá.
792,It's wet outside.,Tá sé fliuch taobh amuigh.
793,I'm lucky to have won the prize.,Tá an t-ádh liom gur bhuaigh mé an duais.
794,Today's language is Irish.,Tá sé teanga an lae inniu Gaeilge.
795,The window is open.,Tá an bhfuinneog oscailte.
796,I'm not very rich but I'm happy.,Ní bhíonn mé ró-shaibhir ach táim sásta.
797,The party is on next Saturday.,Tá an páirtí ar siúl ar an Satharn seo chugainn.
798,I want to walk to the shop.,Táim ag iarraidh dul go dtí an siopa siúil.
799,This house is very big and beautiful.,Tá an teach seo an-mhór agus álainn.
800,I wasn't sure about the outcome of that meeting.,Ní raibh mé cinnte faoi an toradh a bheadh ar an chéimnigh sin.
801,It's very lively here in this area.,Tá sé ana-thapaidh anseo sa cheantar seo.
802,It's nice and warm in the kitchen today.,Tá sé deas agus te sa chistin inniu.
803,The weather is always beautiful in this area every time I come there.,Bíonn an aimsir go hálainn ar an gceantar seo gach uair a thagann mé ann.
804,I left the office early yesterday as I was tired after working for long hours.,Rinne mé imeacht ón oifig go luath inné mar bhí mé tuirseach tar éis a bheith ag obair le haghaidh uaireanta fada.
805,I want to go to the cinema on Saturday with my friend.,Tá mé ag iarraidh dul go dtí an phictiúrlann ar an Satharn le mo chara.
806,I have the window open and it's nice to let in fresh air.,Tá an fhuinneog oscailte agam agus tá sé deas teacht isteach an aer úr a shaothrú.
807,I went to the shop last night for food.,Chuaigh mé go dtí an siopa aréir le haghaidh bia.
808,I will be doing some homework this weekend.,Beidh mé ag déanamh obair bhaile ar an deireadh seachtaine seo.
809,The fish are sitting in the small area around the swimming pool.,Tá na héisc ina suí ar an láthair beag timpeall an linn snámha.
810,I'm looking for someone to serve at the bar.,Tá mé ag lorg duine le freastal ar an mbainis.
811,I couldn't go out with my friends last night as I was tired after a week of work.,Ní raibh mé in ann dul amach le mo chairde aréir mar bhí mé tuirseach tar éis na seachtaine oibre.
812,I want to have dinner with my family tonight.,Tá mé ag iarraidh dinnéar a ithe le mo theaghlach anocht.
813,I got up early yesterday to go to the supermarket to get the services.,D'éirigh mé go luath inné chun dul go dtí an ollmhargadh leis na seirbhísí a fháil.
814,It would be nice to go on holiday to the Caribbean in the summer.,Bheadh sé deas dul ar saoire chuig an gCaraíb sa samhradh.
815,It's not easy to find work but I need it.,Níl sé éasca obair a fháil ach tá sé de dhíth orm.
816,The plants with flowers in this garden are so beautiful to see.,Tá na plandaí ina bhfuil bláthanna sa ghairdín seo chomh alainn le feiceáil.
817,I didn't get the right food order at the restaurant yesterday.,Ní bhfuair mé an bia ceart a ordú ag an mbialann inné.
818,I want to go shopping on Saturday.,Tá mé ag iarraidh dul ag siopadóireacht ar an Satharn.
819,This house is very beautiful and I love the light that goes through the windows.,Tá an teach seo an-álainn agus is aoibhinn liom an solas a théann tríd na fuinneoga.
820,I want to go to the shop.,Táim ag iarraidh dul go dtí an siopa.
821,I often walk in the park.,Bíonn mé ag siúl go minic sa pháirc.
822,I see the birds playing in the garden.,Feicim na héin ag seinm sa ghairdín.
823,What do you do on your holidays?,Céard a dhéanann tú don laethanta saoire?
824,I don't know why that is important.,Níl a fhios agam cén fáth go bhfuil sé sin tábhachtach.
825,It's difficult to save money in this field.,Tá sé deacair airgead a shábháil sa réimse seo.
826,I like playing sports with my friends.,Is maith liom spórt a imirt le mo chairde.
827,I study Irish for schoolwork.,Déanaim staidéar ar an nGaeilge le haghaidh obair na scoile.
828,I'm looking forward to the party tonight.,Táim ag tnúth leis an gcóisir anocht.
829,My friend is going to America next week.,Tá mo chara ag dul go Meiriceá an tseachtain seo chugainn.
830,They organize events like that every week.,Déanann siad imeachtaí den sórt sin gach seachtain.
831,It's raining today.,Tá sé ag cur báistí inniu.
832,My brother is learning the violin.,Tá mo dheartháir ag foghlaim an bhfidil.
833,That job is still available if you're interested.,Tá an phost sin fós ar fáil má tá suim agat ann.
834,This house is very nice.,Tá an teach seo an-deas.
835,I often read books.,Bíonn mé ag léamh leabhair go minic.
836,I see my first book published in the shop.,Feicim mo chéad leabhar a fhoilsíodh sa siopa.
837,The plants are growing great in the garden.,Tá na plandaí ag fás go hiontach sa ghairdín.
838,The weather is wet and cloudy in the Winter.,Bíonn an aimsir fliuch agus scamallach sa Gheimhreadh.
839,The music on the radio is very nice today.,Tá an ceol ar an raidió an-deas inniu.
840,This court is announced.,Tá an chuirt seo fógartha.
841,This poem is creative.,Tá an dán seo cruthaitheach.
842,The truth is obtainable.,Tá an fhírinne le fáil.
843,This movie is attractive.,Tá an scannán seo tarraingteach.
844,The first step is taken.,Tá an chéad chéim déanta.
845,The question is solved.,Tá an cheist réitithe.
846,The shopping center is full.,Tá an t-ionad siopadóireachta lán.
847,The opportunity is available.,Tá an deis curtha ar fáil.
848,The noise is very loud.,Tá an torann an-ard.
849,This week is productive.,Tá an seachtain seo ceannaitheach.
850,The door is arranged.,Tá an doras socraithe.
851,This girl is beautiful.,Tá an cailín seo álainn.
852,The computer is hot.,Tá an ríomhaire te.
853,The message is false.,Tá an teachtaireacht bréagach.
854,The problem is solved.,Tá an fhadhb réitithe.
855,The internet network is open.,Tá an líonra idirlín oscailte.
856,This conversation is attractive.,Tá an chaint seo tarraingteach.
857,The software system is upgraded.,Tá an córas bogearraí uasghrádaithe.
858,The hand is in charge.,Tá an lámh in uachtar.
859,The place is built.,Tá an áit tógtha.
860,The phone line is outside the room.,Tá an líne fón amuigh den seomra.
861,The woman is making tasty dishes.,Tá an bhean ag déanamh plátaí blasta.
862,The cat is playing in the garden.,Tá an cat ag súgradh sa ghairdín.
863,The sun is setting.,Tá an ghrian ag dul faoi.
864,The sea is beautiful.,Tá an fharraige go hálainn.
865,The space is clean.,Tá an spás glan.
866,The house is in crisis.,Tá an teach i ngéarchéim.
867,The child is washing their hands.,Tá an páiste ag glanadh a lámha.
868,The music is playing.,Tá an ceol á sheinm.
869,The boat is going into the ocean.,Tá an bád ag dul isteach sa chuan.
870,The train is arriving.,Tá an traein ag teacht isteach.
871,The man is taking care of the child.,Tá an fear ag tabhairt aire don pháiste.
872,The sky is dry.,Tá an spéir tirim.
873,The box is locked.,Tá an cófra faoi ghlas.
874,The place is crowded with people.,Tá an t-áit dubh le daoine.
875,The weather is beautiful.,Tá an aimsir go hálainn.
876,The piper is playing.,Tá an píobaire ag seinm.
877,The woman is waiting for the train.,Tá an bhean ag fanacht leis an traein.
878,The incoming is bothering me.,Tá an teacht isteach ag cur isteach orm.
879,The team is announcing a win.,Tá an fhoireann ag fógairt bua.
880,The food is tasty.,Tá an bia blasta.
881,The space is limited.,Tá an spás teoranta.
882,The weather is wet.,Tá an aimsir fliuch.
883,The plane is taking off.,Tá an eitleán ag éirí suas.
884,The person is going back on the road.,Tá an duine ag dul siar ar an mbóthar.
885,The window is open.,Tá an fhuinneog oscailte.
886,The book is read.,Tá an leabhar léite.
887,The TV is on.,Tá an teilifís ar siúl.
888,The house is built.,Tá an teach tógtha.
889,The song is sung.,Tá an t-amhrán canaithe.
890,The sport is fun.,Tá an spórt spraoiúil.
891,Life is moving forward.,Tá an saol ag dul ar aghaidh.
892,The race is finished.,Tá an rás críochnaithe.
893,The bus is stopping.,Tá an bus ag stad.
894,The phone is smart.,Tá an fón cliste.
895,The work is done well.,Tá an obair déanta go maith.
896,The water is pouring.,Tá an t-uisce ag sileadh.
897,The air is sorted.,Tá an t-aer curtha in ord.
898,The sea is far from the boat.,Tá an fharraige i bhfad ón mbád.
899,The rain is falling heavily.,Tá an bháisteach ag titim go trom.
900,The car is close to the town.,Tá an carr gar don bhaile.
901,The box is full.,Tá an cófra lán.
902,The knife is sharp.,Tá an scian géar.
903,The house is dry.,Tá an teach tirim.
904,The education system is very good.,Tá an córas oideas an-mhaith.
905,The exam is done.,Tá an scrúdú déanta.
906,The fire is hot.,Tá an tine te.
907,The sitting room is dry.,Tá an seomra suite tirim.
908,The door is closed.,Tá an doras dúnta.
909,The boat is sailing.,Tá an bád ag seoladh.
910,The game is tough.,Tá an cluiche crua.
911,The fish is wet.,Tá an t-iasc fliuch.
912,The party is happening.,Tá an páirtí ar siúl.
913,The subject is interesting.,Tá an t-ábhar suimiúil.
914,The study is finished.,Tá an staidéar críochnaithe.
915,The bathroom is clean.,Tá an seomra folctha glan.
916,The subject is easy.,Tá an t-ábhar éasca.
917,The tide is coming in the garden.,Tá an teacht isteach sa ghairdín.
918,The rest is waiting.,Tá an chuid eile ag fanacht.
919,The mail is not on the table.,Tá an post seachas ar an mbórd.
920,The birds are singing in the garden.,Tá na héin ag seinm sa ghairdín.
921,There's only a few things to do.,Níl ach cúpla rud le déanamh.
922,The view is amazing.,Tá an radharc iontach.
923,I'm looking forward to the festival.,Tá mé ag súil leis an bhféile.
924,The day is beautiful.,Tá an lá go hálainn.
925,It's difficult.,Tá sé deacair.
926,The flowers are growing in the garden.,Tá na bláthanna ag fás sa ghairdín.
927,The food is great.,Tá an bia go hiontach.
928,The house is in good order.,Tá an teach ina cheart go leor.
929,You're lucky.,Tá an t-ádh leat.
930,It's lovely.,Tá sé go hálainn.
931,It's nice and warm.,Tá sé deas agus te.
932,I have my phone.,Tá an fón póca orm.
933,The money is great.,Tá an t-airgead ar fheabhas.
934,I'm looking forward to the trip.,Tá mé ag tnúth leis an turas.
935,The books are on the table.,Tá na leabhair ar an mbord.
936,The weather is warm.,Tá an aimsir te.
937,The sun is setting.,Tá an ghrian ag dul faoi.
938,The work is done.,Tá an obair déanta.
939,The water is cold.,Tá an t-uisce fuar.
940,The sun is shining.,Tá an ghrian ag taitneamh.
941,I love traditional music.,Is breá liom ceol traidisiúnta.
942,It's cold today.,Tá sé fuar inniu.
943,The weather was lovely yesterday.,Bhí an aimsir go hiontach inné.
944,I don't know.,Níl a fhios agam.
945,I am learning Irish.,Tá mé ag foghlaim Gaeilge.
946,Are you well?,An bhfuil tú go maith?
947,I'm looking forward to the summer.,Táim ag tnúth leis an tsamhraidh.
948,My house is located in the city centre.,Tá mo theach suite i gcroílár na cathrach.
949,I love cake.,Is aoibhinn liom cáca milis.
950,I want to go to the shop.,Táim ag iarraidh dul go dtí an siopa.
951,The window is open.,Tá an fhuinneog oscailte.
952,The food is tasty.,Tá an bia blasta.
953,The water is hot.,Tá an t-uisce te.
954,I have nothing else to say.,Níl aon rud eile le rá agam.
955,I am tired.,Tá mé tuirseach.
956,That book is good.,Tá an leabhar sin go maith.
957,This house is beautiful.,Tá an teach seo go hálainn.
958,The children are playing in the garden.,Tá na páistí ag imirt sa ghairdín.
959,The conversation is great.,Tá an chaint go hiontach.
960,I love listening to music),Is aoibhinn liom éisteacht le ceol
961,I'm looking forward to summer),Tá mé ag súil leis an samhradh
962,"It is said that learning Irish is difficult, but it's not that difficult)","Deirtear go bhfuil sé deacair Gaeilge a fhoghlaim, ach níl sé chomh deacair sin"
963,I didn't like the movie),Níor thaitin an scannán liom
964,I love doing this),Is aoibhinn liom é seo a dhéanamh
965,I heard the news on the news),Chuala mé an scéal ar an nuacht
966,It's true that the organizations are working together),Tá sé fíor go bhfuil na hEagraíochtaí ag obair le chéile
967,It is said that Irish is a rich language),Deirtear go bhfuil an Ghaeilge ina teanga bhlasta
968,I don't know why they would close the shop),Níl a fhios agam cén fáth a dhúnfadh siad an siopa
969,I love traveling and making trips),Is breá liom taisteal agus turas a dhéanamh
970,I hope the weather will be good tomorrow),Tá súil agam go mbeidh an aimsir go maith amárach
971,He told me he would be here at seven o'clock),Dúirt sé liom go mbeadh sé anseo ar a seacht a chlog
972,I went back in time),Chuaigh mé ar ais sa lá
973,I'm looking for a new job),Táim ag lorg post nua
974,I love looking at the sky),Is breá liom amharc ar an aer
975,It's important for everyone to tackle the climate crisis),Tá sé tábhachtach do gach duine dul i ngleic leis an ngéarchéim aeráide
976,It is said that this song is groundbreaking),Deirtear go bhfuil an t-amhrán seo ina cheannródaí
977,It's not difficult to speak Irish if you're making an effort),Níl sé deacair gaeilge a labhairt mura bhfuil tú ag déanamh iarracht
978,I love coming to the coast),Is aoibhinn liom teacht ar an gcósta
979,I hope the train will be on time),Tá súil agam go mbeidh an traenach in am
980,The sun often goes on vacation.,Téann an ghrian faoi saoire go minic.
981,The bird always flies away in the garden.,Imíonn an t-éan i gcónaí sa ghairdín.
982,The weather is always beautiful on this island.,Bíonn an aimsir go hálainn ar an oileán seo.
983,The stars shine in the sky one night in December.,Fanann na réaltaí ag lonrú sa spéir oíche amháin i mí na Nollag.
984,That person stands firmly.,Seasann an duine sin ina sheasamh go crua.
985,That story is often true.,Bíonn an scéal sin fíor go minic.
986,I often hear that song on the radio.,Cloisim an t-amhrán sin go minic ar an raidió.
987,The dog goes swimming in the river every morning.,Téann an madra ag snámh san abhainn gach maidin.
988,The day rises early in summer.,Éiríonn an lá go luath sa samhradh.
989,That message scares me.,Cuireann an teachtaireacht sin eagla orm.
990,It is said that luck will come to the unpleasant.,Deirtear go dtiocfaidh an t-ádh leis an ngarbhchrannach.
991,The train leaves the station at six o'clock.,Imíonn an traein as an stáisiún ag a sé a chlog.
992,Those animals talk to each other.,Bíonn na hainmhithe sin ag caint le chéile.
993,He leaves it in the kitchen every night.,Fágann sé isteach sa chistin gach oíche.
994,The sea makes noise proudly.,Déanann an fharraige fuaim go bródúil.
995,That story always spreads throughout the country.,Imíonn an scéal sin i gcónaí ar fud na tíre.
996,The child goes out on the road completely.,Téann an páiste go léir amach ar an mbóthar.
997,I hear that folklore from my grandfather.,Cloisim an seanscéal sin ó mo sheanathair.
998,That house is always behind me.,Bíonn an teach sin ina dhiaidh orm i gcónaí.
999,The network is slow in this room.,Bíonn an líonra go mall sa seomra seo.
